ID,Rank,Name,Symbol,Slug,Market_pairs,Added,Tags,Max_supply,Circulating_supply,Last_updated,Platform,Price,Volume,Market_cap,Hour_change,Day_change,Week_change,Last_updated_quote
3655,1443,Fiii,FIII,fiii,3,2019-01-01T00:00:00.000Z,['mineable'],5000000000,482404699,2019-11-28T14:28:11.000Z,,0.000192502883254,150462.795705909,92864.29545277801,0.610227,-17.6563,-31.3508,2019-11-28T14:28:11.000Z
2589,1444,Guaranteed Ethurance Token Extra,GETX,guaranteed-ethurance-token-extra,1,2018-03-14T00:00:00.000Z,[],,300000000,2019-11-28T14:28:06.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x07a58629aaf3e1a0d07d8f43114b76bd5eee3b91'}",0.000308903637653,0,92671.0912959,0,7.10543e-14,62.5025,2019-11-28T14:28:06.000Z
2848,1445,Paymon,PMNT,paymon,2,2018-06-07T00:00:00.000Z,[],,611226584.438,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x81b4d08645da11374a03749ab170836e4e539767'}",0.00015123123472,57.6593026963856,92436.55105824706,22.0253,62.8049,-11.5494,2019-11-28T14:28:08.000Z
2368,1446,REBL,REBL,rebl,2,2018-01-11T00:00:00.000Z,[],,173671673.042984,2019-11-28T14:28:05.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5f53f7a8075614b699baad0bc2c899f4bad8fbbf'}",0.000528056830794,77.9596702142466,91708.51326576989,-0.114928,-12.8959,120.472,2019-11-28T14:28:05.000Z
1969,1447,Sociall,SCL,sociall,3,2017-09-19T00:00:00.000Z,[],16714020,16714019.6643,2019-11-28T14:28:04.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd7631787b4dcc87b1254cfd1e5ce48e96823dee8'}",0.00547094801789,0,91441.53275337657,2.84217e-14,2.84217e-14,-29.7243,2019-11-28T14:28:04.000Z
1257,1448,LanaCoin,LANA,lanacoin,1,2016-05-18T00:00:00.000Z,['mineable'],7506000000,1210141060.17003,2019-11-28T14:28:03.000Z,,7.55464941824e-05,0,91421.91456201854,0,3.90667,-18.3878,2019-11-28T14:28:03.000Z
4297,1449,Netbox Coin,NBX,netbox-coin,6,2019-09-09T00:00:00.000Z,[],100000000,4778428.52444,2019-11-28T14:28:13.000Z,,0.0189274219538,54553.6410454277,90443.3329581498,0.278427,-23.1372,3.65498,2019-11-28T14:28:13.000Z
3672,1450,DogeCash,DOGEC,dogecash,2,2019-01-07T00:00:00.000Z,['mineable'],,3614880.31241335,2019-11-28T14:28:11.000Z,,0.0248850766245,454.560765838814,89956.57356280272,17.3923,8.98573,-16.2596,2019-11-28T14:28:11.000Z
2352,1451,Coinlancer,CL,coinlancer,4,2018-01-09T00:00:00.000Z,[],,79619229,2019-11-28T14:28:06.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe81d72d14b1516e68ac3190a46c93302cc8ed60f'}",0.0011285328841,40.8901319894692,89852.91813318836,-0.114928,-14.8224,-3.54128,2019-11-28T14:28:06.000Z
3793,1452,Galilel,GALI,galilel,4,2019-04-04T00:00:00.000Z,[],,18255166.2793791,2019-11-28T14:28:12.000Z,,0.00488164782978,23.3378334675086,89115.29285000403,-0.114928,1.87408,-1.696,2019-11-28T14:28:12.000Z
1643,1453,WavesGo,WGO,wavesgo,2,2017-04-25T00:00:00.000Z,[],,7580392,2019-11-28T14:28:03.000Z,"{'id': 1274, 'name': 'Waves', 'symbol': 'WAVES', 'slug': 'waves', 'token_address': '4eT6R8R2XuTcBuTHiXVQsh2dN2mg3c2Qnp95EWBNHygg'}",0.0116541977648,0,88343.38750270779,0,4.26326e-14,-18.9646,2019-11-28T14:28:03.000Z
2884,1454,FSBT API Token,FSBT,fsbt-api-token,2,2018-07-05T00:00:00.000Z,[],,3509535.10131341,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1ed7ae1f0e2fa4276dd7ddc786334a3df81d50c0'}",0.0251547953752,11738.2533334506,88281.63733562063,-1.1831,1.9847,-11.5726,2019-11-28T14:28:08.000Z
9,1455,Mincoin,MNC,mincoin,1,2013-05-03T00:00:00.000Z,['mineable'],,6026596.8879491,2019-11-28T14:28:01.000Z,,0.014634717882,0.320832243052306,88197.54524367423,-0.0944144,-3.23065,-10.4672,2019-11-28T14:28:01.000Z
3087,1456,CROAT,CROAT,croat,1,2018-08-06T00:00:00.000Z,['mineable'],100467441,72763698.7145014,2019-11-28T14:28:09.000Z,,0.00120698704181,5.71900074981779,87824.84146257014,-0.114928,-7.76676,-24.1749,2019-11-28T14:28:09.000Z
3603,1457,Menlo One,ONE,menlo-one,2,2018-11-09T00:00:00.000Z,[],,300404657.917,2019-11-28T14:28:11.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4d807509aece24c0fa5a102b6a3b059ec6e14392'}",0.000289707901213,0,87029.6029597433,0,-5.68434e-14,74.7836,2019-11-28T14:28:11.000Z
3908,1458,Decimated,DIO,decimated,2,2019-05-03T00:00:00.000Z,[],,54986411,2019-11-28T14:28:12.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x35a5cb585d51d836922b78a9bb1f5c04635c39b6'}",0.00158062720822,4270.3075145374,86913.01730896751,-0.115875,2.59246,18.3742,2019-11-28T14:28:12.000Z
2200,1459,GoByte,GBX,gobyte,12,2017-11-20T00:00:00.000Z,['mineable'],31800000,3641735.6260314,2019-11-28T14:28:05.000Z,,0.0238479407245,14432.898198974,86847.89534389673,-0.0212723,1.68006,6.21096,2019-11-28T14:28:05.000Z
3302,1460,UChain,UCN,uchain,4,2018-09-17T00:00:00.000Z,[],,305346956.899701,2019-11-28T14:28:11.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaaf37055188feee4869de63464937e683d61b2a1'}",0.0002838916163,23473.7796827319,86685.44112654256,-0.519193,3.1805,-20.2305,2019-11-28T14:28:11.000Z
2944,1461,Elysian,ELY,elysian,9,2018-07-19T00:00:00.000Z,[],1000000000,97966210.0806116,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa95592dcffa3c080b4b40e459c5f5692f67db7f8'}",0.000880635313996,1272553.61936779,86272.5041753375,-0.115785,-3.40861,-18.7615,2019-11-28T14:28:08.000Z
3668,1462,ProxyNode,PRX,proxynode,3,2019-01-04T00:00:00.000Z,['mineable'],275000000,142641643.594639,2019-11-28T14:28:11.000Z,,0.000599787727917,58.5315450487645,85554.70731797502,8.82867,16.6397,1.17282,2019-11-28T14:28:11.000Z
3192,1463,CatoCoin,CATO,catocoin,1,2018-08-20T00:00:00.000Z,['mineable'],,17393732.9822531,2019-11-28T14:28:09.000Z,,0.00482794816726,20.9195748454183,83976.04127347868,-0.114928,-52.1915,-57.5602,2019-11-28T14:28:09.000Z
3423,1464,Sharpay,S,sharpay,2,2018-10-10T00:00:00.000Z,[],,1030302597,2019-11-28T14:28:11.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x96b0bf939d9460095c15251f71fda11e41dcbddb'}",8.104177086e-05,12.1238489206595,83497.54698253692,-0.109149,-42.2247,-51.5608,2019-11-28T14:28:11.000Z
1485,1465,Dollar International,DOLLAR,dollar-international,3,2019-11-26T00:00:00.000Z,['mineable'],77000000000,34537.6560974121,2019-11-28T14:28:04.000Z,"{'id': 512, 'name': 'Stellar', 'symbol': 'XLM', 'slug': 'stellar', 'token_address': 'GCBAQPS2KAF2CHAAAWZSO6XWKMEMU6Q2MCJ47AOKJOMFTY5BSZ3D5GRK'}",2.4091906326,96032.0422840061,83207.79754184552,8.66138,,,2019-11-28T14:28:04.000Z
1725,1466,Adelphoi,ADL,adelphoi,1,2017-06-16T00:00:00.000Z,[],,20722224,2019-11-28T14:28:04.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x660e71483785f66133548B10f6926dC332b06e61'}",0.00399814457601,208.398666535074,82850.44748846424,1.79988,8.60032,2.23627,2019-11-28T14:28:04.000Z
3975,1467,Neutral Dollar ,NUSD,neutral-dollar,6,2019-09-19T00:00:00.000Z,[],,81178.374647,2019-11-28T14:28:12.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0c6144c16af288948c8fdb37fd8fec94bff3d1d9'}",1.01615912246,1652.05631745059,82490.14594402464,-0.00738725,1.02014,-3.39422,2019-11-28T14:28:12.000Z
1739,1468,Miners' Reward Token,MRT,miners-reward-token,4,2017-06-24T00:00:00.000Z,[],,10000000,2019-11-28T14:28:04.000Z,"{'id': 1274, 'name': 'Waves', 'symbol': 'WAVES', 'slug': 'waves', 'token_address': ''}",0.00821010156423,2295.67566231106,82101.0156423,1.27442,19.5371,-10.2719,2019-11-28T14:28:04.000Z
1156,1469,Yocoin,YOC,yocoin,4,2016-01-21T00:00:00.000Z,['mineable'],,369659254.537606,2019-11-28T14:28:02.000Z,,0.000221095776145,9816.52600399578,81730.09979117411,0.0352059,-25.2204,-52.8144,2019-11-28T14:28:02.000Z
2664,1470,CryCash,CRC,crycash,9,2018-04-23T00:00:00.000Z,[],,4763935.95792092,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf41e5fbc2f6aac200dd8619e121ce1f05d150077'}",0.0170846869725,5204.8457984822,81390.35459811585,0.417431,-35.0317,-46.7878,2019-11-28T14:28:08.000Z
3256,1471,Bitether,BTR,bitether,1,2018-09-07T00:00:00.000Z,[],,56735293.2589025,2019-11-28T14:28:10.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x499a6b77bc25c26bcf8265e2102b1b3dd1617024'}",0.00143329711215,6867.00190102315,81318.53198496831,-0.114928,-32.0177,-32.0129,2019-11-28T14:28:10.000Z
3008,1472,Vivid Coin,VIVID,vivid-coin,2,2018-08-01T00:00:00.000Z,['mineable'],,6399529.45198759,2019-11-28T14:28:08.000Z,,0.0126428325038,0,80908.1789646141,0,1.34083,54.8442,2019-11-28T14:28:08.000Z
730,1473,GCN Coin,GCN,gcn-coin,3,2014-11-16T00:00:00.000Z,['mineable'],,172076810000,2019-11-28T14:28:02.000Z,,4.69351991452e-07,6.80332359918822,80764.59345620743,-0.0609217,-0.228127,-26.4699,2019-11-28T14:28:02.000Z
4272,1474,Taklimakan Network,TAN,taklimakan-network,2,2019-09-04T00:00:00.000Z,[],,55942180.0000001,2019-11-28T14:28:13.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2c36204a0712a2a50e54a62f7c4f01867e78cb53'}",0.00143188237656,12507.1005759157,80102.62164834744,-0.11511,7.04889,-3.81821,2019-11-28T14:28:13.000Z
3132,1475,EtherGem,EGEM,ethergem,3,2018-08-09T00:00:00.000Z,['mineable'],,19483114,2019-11-28T14:28:10.000Z,,0.0040999086457,4689.15055939723,79878.9875337587,0.892971,9.82874,1.82278,2019-11-28T14:28:10.000Z
2005,1476,Obsidian,ODN,obsidian,1,2017-09-30T00:00:00.000Z,[],,70911958,2019-11-28T14:28:04.000Z,,0.00112455356634,0,79744.2952650523,2.84217e-14,-2.84217e-14,-1.84741e-13,2019-11-28T14:28:04.000Z
2236,1477,MyWish,WISH,mywish,6,2017-11-28T00:00:00.000Z,[],,6057663.7,2019-11-28T14:28:05.000Z,"{'id': 1839, 'name': 'Binance Coin', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': ''}",0.0131033672831,470.298204760689,79375.79233860249,0.708102,-3.02181,7.76035,2019-11-28T14:28:05.000Z
2256,1478,Bonpay,BON,bonpay,1,2017-12-06T00:00:00.000Z,[],,11290301.06,2019-11-28T14:28:06.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xcc34366e3842ca1bd36c1f324d15257960fcc801'}",0.00694017549043,1301.28290445622,78356.67069618785,-0.120874,8.10373,-2.09664,2019-11-28T14:28:06.000Z
2504,1479,Iungo,ING,iungo,3,2018-02-04T00:00:00.000Z,[],,40000000,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x24ddff6d8b8a42d835af3b440de91f3386554aa4'}",0.00195074626723,758.6622385027,78029.8506892,-0.115044,4.56007,-4.72276,2019-11-28T14:28:08.000Z
3959,1480,ALLUVA,ALV,alluva,2,2019-05-22T00:00:00.000Z,[],,8502623.8137,2019-11-28T14:28:12.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x744c9c36d1cc3268a4b9b2e28c60b1752c85e97d'}",0.00916247420053,3.66498968021318,77905.07132983823,-0.112704,2.67493,-8.45727,2019-11-28T14:28:12.000Z
2747,1481,BlockMesh,BMH,blockmesh,2,2018-05-21T00:00:00.000Z,[],2000000000,273039970.879047,2019-11-28T14:28:09.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf03045a4c8077e38f3b8e2ed33b8aee69edf869f'}",0.000283943701587,279.730189786769,77527.9800126033,-0.114928,10.992,-14.6941,2019-11-28T14:28:09.000Z
2956,1482,Narrative,NRVE,narrative,2,2018-07-23T00:00:00.000Z,[],179428004,44210969.8744242,2019-11-28T14:28:09.000Z,"{'id': 1376, 'name': 'NEO', 'symbol': 'NEO', 'slug': 'neo', 'token_address': 'a721d5893480260bd28ca1f395f2c465d0b5b1c2'}",0.00175240607115,110.195563488814,77475.57201937071,-0.197771,17.7822,5.01433,2019-11-28T14:28:09.000Z
3006,1483,Niobio Cash,NBR,niobio-cash,3,2018-07-31T00:00:00.000Z,['mineable'],336000000,139406334.471427,2019-11-28T14:28:09.000Z,,0.000553413442108,110.092394159438,77149.33941149156,-8.40375,-0.147818,8.88896,2019-11-28T14:28:09.000Z
3451,1484,BLOC.MONEY,BLOC,bloc-money,1,2018-10-16T00:00:00.000Z,[],50000000,12560319.6027,2019-11-28T14:28:11.000Z,,0.00611037189919,133.449918784695,76748.22394518339,-0.114928,6.38929,-16.6896,2019-11-28T14:28:11.000Z
2980,1485,WABnetwork,WAB,wabnetwork,6,2018-07-27T00:00:00.000Z,[],,8994541755,2019-11-28T14:28:09.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4bbbc57af270138ef2ff2c50dbfad684e9e0e604'}",8.49662967565e-06,788.832776548398,76423.29039440602,-0.0123923,-0.123054,-16.2217,2019-11-28T14:28:09.000Z
3027,1486,Webcoin,WEB,webcoin,9,2018-08-02T00:00:00.000Z,[],,44296118.1310108,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x840fe75abfadc0f2d54037829571b2782e919ce4'}",0.00171486507333,30000.8728021473,75961.86586697018,0.72606,-32.3434,-21.5289,2019-11-28T14:28:08.000Z
3323,1487,PAYCENT,PYN,paycent,8,2018-09-21T00:00:00.000Z,[],,14364155.6775655,2019-11-28T14:28:10.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0142c3b2fc51819b5af5dfc4aa52df9722790851'}",0.00527379488282,104469.378011958,75753.61070837479,0.637822,2.57846,-3.4323,2019-11-28T14:28:10.000Z
2749,1488,Signals Network,SGN,signals-network,1,2018-05-21T00:00:00.000Z,[],,88138748.9409208,2019-11-28T14:28:09.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb2135ab9695a7678dd590b1a996cb0f37bcb0718'}",0.000859325704516,0,75739.89252881562,-1.42109e-14,4.26326e-14,2.27374e-13,2019-11-28T14:28:09.000Z
3480,1489,StrongHands Masternode,SHMN,stronghands-masternode,5,2019-01-08T00:00:00.000Z,['mineable'],15000000,1668764.61627703,2019-11-28T14:28:11.000Z,,0.045329756484,275.316799792353,75644.69368495347,-0.0851139,10.899,-20.381,2019-11-28T14:28:11.000Z
1085,1490,Swing,SWING,swing,1,2015-09-28T00:00:00.000Z,['mineable'],,4381720.4845397,2019-11-28T14:28:02.000Z,,0.0172576120703,0,75618.03232267308,2.84217e-14,3.65105,2.63334,2019-11-28T14:28:02.000Z
4231,1491,Helpico,HELP,helpico,4,2019-08-08T00:00:00.000Z,[],,23627.5136386,2019-11-28T14:28:13.000Z,,3.20013706606,45661.7644387948,75611.28217372204,1.14453,7.03014,54.0144,2019-11-28T14:28:13.000Z
3018,1492,Kalkulus,KLKS,kalkulus,3,2018-08-01T00:00:00.000Z,['mineable'],,16938343.7462684,2019-11-28T14:28:09.000Z,,0.00445077462773,53345.1285141847,75388.75058166051,-0.115298,3.13084,22.3914,2019-11-28T14:28:09.000Z
2733,1493,Freyrchain,FREC,freyrchain,1,2018-05-11T00:00:00.000Z,[],,500000000,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x17e67d1cb4e349b9ca4bc3e17c7df2a397a7bb64'}",0.000150612633954,0,75306.316977,0,0,3.2685e-13,2019-11-28T14:28:08.000Z
1902,1494,MyBit,MYB,mybit,3,2017-08-19T00:00:00.000Z,[],,153906947.610155,2019-11-28T14:28:03.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5d60d8d7ef6d37e16ebabc324de3be57f135e0bc'}",0.000486563732903,593.108124127381,74885.53894890346,0.00849938,4.97394,-6.17546,2019-11-28T14:28:03.000Z
175,1495,Photon,PHO,photon,2,2014-05-23T00:00:00.000Z,['mineable'],90000000000,31424644960.8214,2019-11-28T14:28:01.000Z,,2.37451406361e-06,3.14966964335244,74618.26140342152,-0.0592901,0.728151,-9.04419,2019-11-28T14:28:01.000Z
703,1496,Rimbit,RBT,rimbit,2,2014-10-26T00:00:00.000Z,[],,197581050.118245,2019-11-28T14:28:02.000Z,,0.000377183450567,1.9540365840075,74524.30225025101,-0.119301,73.3824,70.6712,2019-11-28T14:28:02.000Z
3472,1497,JSECOIN,JSE,jsecoin,2,2018-10-18T00:00:00.000Z,[],,443479879.963,2019-11-28T14:28:11.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2d184014b5658c453443aa87c8e9c4d57285620b'}",0.000168034705245,2.67780106278196,74520.01091167069,-0.109149,12.9363,-12.489,2019-11-28T14:28:11.000Z
1731,1498,GlobalToken,GLT,globaltoken,2,2017-06-19T00:00:00.000Z,['mineable'],168000000,89123100,2019-11-28T14:28:04.000Z,,0.000831431031117,47.9792732255953,74099.7109293435,-0.118361,0.681846,-29.4107,2019-11-28T14:28:04.000Z
2704,1499,Transcodium,TNS,transcodium,8,2018-05-04T00:00:00.000Z,[],,58553570.9335735,2019-11-28T14:28:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb0280743b44bf7db4b6be482b2ba7b75e5da096c'}",0.0012575764413,85158.9187685131,73635.59136005049,-0.033693,2.81846,-21.4756,2019-11-28T14:28:08.000Z
3751,1500,Stakinglab,LABX,stakinglab,1,2019-02-25T00:00:00.000Z,[],,405158.050957,2019-11-28T14:28:12.000Z,,0.181274366343,1383.20264762385,73444.76895599508,3.72681,-11.0221,-14.5084,2019-11-28T14:28:12.000Z
1279,1501,PWR Coin,PWR,powercoin,3,2018-05-30T00:00:00.000Z,['mineable'],,9664500811.20345,2019-11-28T14:28:02.000Z,,7.54366901134e-06,0.726545849820215,72905.79527954575,-0.146589,2.04344,-5.2049,2019-11-28T14:28:02.000Z
3933,1502,SwiftCash,SWIFT,swiftcash,1,2019-05-13T00:00:00.000Z,['mineable'],5000000000,107323160.675201,2019-11-28T14:28:12.000Z,,0.000678930211021,56.4410105566829,72864.93612465491,-0.120874,25.4443,3.88185,2019-11-28T14:28:12.000Z
625,1503,bitBTC,BITBTC,bitbtc,3,2014-09-23T00:00:00.000Z,[],,34.3721,2019-11-28T14:28:02.000Z,"{'id': 463, 'name': 'BitShares', 'symbol': 'BTS', 'slug': 'bitshares', 'token_address': 'BTC'}",2113.20437512,0,72635.27210206215,-0.0795374,11.1861,10.2451,2019-11-28T14:28:02.000Z
