ID,Rank,Name,Symbol,Slug,Market_pairs,Added,Tags,Max_supply,Circulating_supply,Last_updated,Platform,Price,Volume,Market_cap,Hour_change,Day_change,Week_change,Last_updated_quote
1,1,Bitcoin,BTC,bitcoin,7789,2013-04-28T00:00:00.000Z,['mineable'],21000000,18071962,2019-11-28T14:24:37.000Z,,7547.05259694,21440071981.5506,136390047743.90099,-0.0440394,3.72776,-3.59924,2019-11-28T14:24:37.000Z
1027,2,Ethereum,ETH,ethereum,5366,2015-08-07T00:00:00.000Z,['mineable'],,108724457.3115,2019-11-28T14:24:26.000Z,,152.618065245,7984424353.71062,16593316319.693724,-0.247793,2.56274,-8.5392,2019-11-28T14:24:26.000Z
52,3,XRP,XRP,ripple,507,2013-08-04T00:00:00.000Z,[],100000000000,43299885509,2019-11-28T14:24:06.000Z,,0.227703740045,1421172128.48433,9859545873.919598,0.0539226,2.61901,-7.05505,2019-11-28T14:24:06.000Z
825,4,Tether,USDT,tether,3939,2015-02-25T00:00:00.000Z,[],,4108044456.1,2019-11-28T14:24:21.000Z,"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",1.01334217656,24187246454.2142,4162854710.549615,0.00669293,0.771247,0.798419,2019-11-28T14:24:21.000Z
1831,5,Bitcoin Cash,BCH,bitcoin-cash,447,2017-07-23T00:00:00.000Z,['mineable'],21000000,18137650,2019-11-28T14:24:11.000Z,,220.886141907,1623172212.81146,4006355531.7594986,0.0382436,3.3186,-5.02721,2019-11-28T14:24:11.000Z
2,6,Litecoin,LTC,litecoin,560,2013-04-28T00:00:00.000Z,['mineable'],84000000,63725987.8112525,2019-11-28T14:24:07.000Z,,47.420006861,2825299426.56268,3021886779.233596,-0.215077,0.583062,-8.69414,2019-11-28T14:24:07.000Z
1765,7,EOS,EOS,eos,397,2017-07-01T00:00:00.000Z,[],,942081085.8939,2019-11-28T14:24:08.000Z,,2.67513296164,1726112757.07172,2520192165.412376,-0.311896,1.28682,-8.24902,2019-11-28T14:24:08.000Z
1839,8,Binance Coin,BNB,binance-coin,280,2017-07-25T00:00:00.000Z,[],187536713,155536713,2019-11-28T14:24:08.000Z,,15.8933934869,214539322.625027,2472006181.368035,-0.193177,2.06113,-7.19379,2019-11-28T14:24:08.000Z
3602,9,Bitcoin SV,BSV,bitcoin-sv,158,2018-11-09T00:00:00.000Z,['mineable'],21000000,18068415,2019-11-28T14:24:14.000Z,,108.038958076,398447966.365606,1952092730.6847696,-0.122286,1.07318,6.46957,2019-11-28T14:24:14.000Z
512,10,Stellar,XLM,stellar,307,2014-08-05T00:00:00.000Z,[],,20054779553.7,2019-11-28T14:24:05.000Z,,0.0586273554824,237036742.705866,1175758690.015937,0.0297003,0.24203,-5.60986,2019-11-28T14:24:05.000Z
1958,11,TRON,TRX,tron,300,2017-09-13T00:00:00.000Z,['mineable'],,66682072191.4,2019-11-28T14:24:08.000Z,,0.0161896633169,1640169857.42824,1079560298.0519862,-0.103047,4.87244,4.15764,2019-11-28T14:24:08.000Z
2010,12,Cardano,ADA,cardano,118,2017-10-01T00:00:00.000Z,['mineable'],45000000000,25927070538,2019-11-28T14:24:08.000Z,,0.0391260059734,72815944.4013753,1014422716.7425511,0.140159,2.18518,0.661835,2019-11-28T14:24:08.000Z
328,13,Monero,XMR,monero,129,2014-05-21T00:00:00.000Z,['mineable'],,17328960.9719365,2019-11-28T14:24:04.000Z,,55.0931646381,150704573.92204,954707299.834107,-0.538976,4.24989,-1.10777,2019-11-28T14:24:04.000Z
3957,14,UNUS SED LEO,LEO,unus-sed-leo,27,2019-05-21T00:00:00.000Z,[],,999498892.9,2019-11-28T14:24:14.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",0.949714247187,11903911.7545914,949238338.6347635,-0.378389,4.9491,-0.204855,2019-11-28T14:24:14.000Z
2011,15,Tezos,XTZ,tezos,55,2017-10-02T00:00:00.000Z,[],,660373611.97278,2019-11-28T14:24:07.000Z,,1.27941567474,46595519.8362087,844892350.3426453,0.212558,5.75544,4.10302,2019-11-28T14:24:07.000Z
1975,16,Chainlink,LINK,chainlink,121,2017-09-20T00:00:00.000Z,[],,350000000,2019-11-28T14:24:08.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",2.26216317782,141643906.664168,791757112.2370001,0.767737,0.779769,-12.8999,2019-11-28T14:24:08.000Z
3794,17,Cosmos,ATOM,cosmos,99,2019-03-14T00:00:00.000Z,[],,190688439.2,2019-11-28T14:24:14.000Z,,3.68950183821,158409764.372695,703545346.9537958,0.830718,4.18,13.4855,2019-11-28T14:24:14.000Z
1376,18,NEO,NEO,neo,225,2016-09-08T00:00:00.000Z,[],100000000,70538831,2019-11-28T14:24:07.000Z,,9.48376031876,389708208.79302,668973366.3695178,-0.248549,2.56256,-14.8887,2019-11-28T14:24:07.000Z
2502,19,Huobi Token,HT,huobi-token,130,2018-02-03T00:00:00.000Z,[],,241284046.971921,2019-11-28T14:24:10.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",2.68128264029,125145117.556732,646950726.5247288,0.846861,4.85945,-15.6469,2019-11-28T14:24:10.000Z
1720,20,IOTA,MIOTA,iota,48,2017-06-13T00:00:00.000Z,[],2779530283,2779530283,2019-11-28T14:24:06.000Z,,0.216456832953,7829687.82310636,601648322.1551359,-0.00225676,2.41223,-6.11298,2019-11-28T14:24:06.000Z
1518,21,Maker,MKR,maker,73,2017-01-29T00:00:00.000Z,[],,1000000,2019-11-28T14:24:06.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}",549.961388153,4589574.69393904,549961388.153,-0.315393,1.43685,-0.864652,2019-11-28T14:24:06.000Z
