ID,Rank,Name,Symbol,Slug,Market_pairs,Added,Tags,Max_supply,Circulating_supply,Last_updated,Platform,Price,Volume,Market_cap,Hour_change,Day_change,Week_change,Last_updated_quote
1,1,Bitcoin,BTC,bitcoin,7796,2013-04-28T00:00:00.000Z,['mineable'],21000000,18073787,2019-11-29T13:39:38.000Z,,7644.71165345,19099120316.2466,138168890100.8731,0.881952,1.25248,5.71426,2019-11-29T13:39:38.000Z
1027,2,Ethereum,ETH,ethereum,5369,2015-08-07T00:00:00.000Z,['mineable'],,108735861.749,2019-11-29T13:39:26.000Z,,155.219124394,7085646980.16448,16877885250.906818,0.596758,1.53316,3.12447,2019-11-29T13:39:26.000Z
52,3,XRP,XRP,ripple,507,2013-08-04T00:00:00.000Z,[],100000000000,43299885509,2019-11-29T13:39:05.000Z,,0.228739852702,1308611671.32538,9904409433.342125,0.295928,0.496987,-2.26079,2019-11-29T13:39:05.000Z
825,4,Tether,USDT,tether,3941,2015-02-25T00:00:00.000Z,[],,4108044456.1,2019-11-29T13:39:23.000Z,"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",0.997294105609,21634109259.8704,4096928521.64826,-0.348155,-1.55167,-0.608971,2019-11-29T13:39:23.000Z
1831,5,Bitcoin Cash,BCH,bitcoin-cash,447,2017-07-23T00:00:00.000Z,['mineable'],21000000,18139450,2019-11-29T13:39:09.000Z,,223.624661553,1432359558.84917,4056428367.007566,-0.111861,1.15246,7.18783,2019-11-29T13:39:09.000Z
2,6,Litecoin,LTC,litecoin,560,2013-04-28T00:00:00.000Z,['mineable'],84000000,63732350.3112525,2019-11-29T13:39:05.000Z,,48.7051863297,2843785387.15649,3104095997.1392665,0.319775,2.39458,2.39867,2019-11-29T13:39:05.000Z
1765,7,EOS,EOS,eos,397,2017-07-01T00:00:00.000Z,[],,942217226.5493,2019-11-29T13:39:09.000Z,,2.77508583808,1908946951.9747,2614733681.7919774,0.966208,3.37525,5.31841,2019-11-29T13:39:09.000Z
1839,8,Binance Coin,BNB,binance-coin,280,2017-07-25T00:00:00.000Z,[],187536713,155536713,2019-11-29T13:39:06.000Z,,16.0680865687,202518598.93155,2499177369.0950465,0.469068,0.850008,2.15101,2019-11-29T13:39:06.000Z
3602,9,Bitcoin SV,BSV,bitcoin-sv,158,2018-11-09T00:00:00.000Z,['mineable'],21000000,18068415,2019-11-29T13:39:12.000Z,,109.433099289,451286856.36654,1977282652.689857,0.021921,1.25711,15.6671,2019-11-29T13:39:12.000Z
512,10,Stellar,XLM,stellar,307,2014-08-05T00:00:00.000Z,[],,20054779553.7,2019-11-29T13:39:05.000Z,,0.0601324268039,214792066.644518,1205942563.5812156,0.811197,2.49391,2.97075,2019-11-29T13:39:05.000Z
1958,11,TRON,TRX,tron,300,2017-09-13T00:00:00.000Z,['mineable'],,66682072191.4,2019-11-29T13:39:08.000Z,,0.0161060939662,1186513496.28964,1073987720.5756204,-0.0721017,-0.652132,11.2882,2019-11-29T13:39:08.000Z
2010,12,Cardano,ADA,cardano,118,2017-10-01T00:00:00.000Z,['mineable'],45000000000,25927070538,2019-11-29T13:39:06.000Z,,0.0410122707118,93283573.7320007,1063328035.66839,0.460096,4.79293,12.6135,2019-11-29T13:39:06.000Z
328,13,Monero,XMR,monero,129,2014-05-21T00:00:00.000Z,['mineable'],,17330458.7640916,2019-11-29T13:39:03.000Z,,55.4353483302,147792647.263097,960720018.3095852,0.479646,0.167309,8.97153,2019-11-29T13:39:03.000Z
3957,14,UNUS SED LEO,LEO,unus-sed-leo,27,2019-05-21T00:00:00.000Z,[],,999498892.9,2019-11-29T13:39:13.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",0.908056650133,10965936.5616855,907601616.4984161,-0.923604,-4.03483,-2.49995,2019-11-29T13:39:13.000Z
2011,15,Tezos,XTZ,tezos,55,2017-10-02T00:00:00.000Z,[],,660373611.97278,2019-11-29T13:39:06.000Z,,1.29962313025,39103249.9161024,858236820.7265632,0.760603,1.63413,9.987,2019-11-29T13:39:06.000Z
1975,16,Chainlink,LINK,chainlink,121,2017-09-20T00:00:00.000Z,[],,350000000,2019-11-29T13:39:06.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",2.32359163873,153883969.742835,813257073.5555,0.246935,3.24484,0.270659,2019-11-29T13:39:06.000Z
3794,17,Cosmos,ATOM,cosmos,99,2019-03-14T00:00:00.000Z,[],,190688439.2,2019-11-29T13:39:13.000Z,,3.9377328761,166072149.97888,750880136.130036,1.2597,7.2936,31.5222,2019-11-29T13:39:13.000Z
1376,18,NEO,NEO,neo,225,2016-09-08T00:00:00.000Z,[],100000000,70538831,2019-11-29T13:39:05.000Z,,9.74324160566,365524777.844147,687276873.0138193,0.931929,2.55103,-2.15211,2019-11-29T13:39:05.000Z
2502,19,Huobi Token,HT,huobi-token,130,2018-02-03T00:00:00.000Z,[],,241284046.971921,2019-11-29T13:39:09.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",2.75742936503,128592213.394862,665323716.4336529,0.870435,3.34571,-3.23126,2019-11-29T13:39:09.000Z
1720,20,IOTA,MIOTA,iota,48,2017-06-13T00:00:00.000Z,[],2779530283,2779530283,2019-11-29T13:39:05.000Z,,0.21740437993,6226110.32245713,604282057.6722724,0.035977,0.187247,4.56204,2019-11-29T13:39:05.000Z
1518,21,Maker,MKR,maker,73,2017-01-29T00:00:00.000Z,[],,1000000,2019-11-29T13:39:04.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}",563.489712451,4618815.22616818,563489712.451,3.65563,2.31555,19.0363,2019-11-29T13:39:04.000Z
131,22,Dash,DASH,dash,272,2014-02-14T00:00:00.000Z,['mineable'],18900000,9178696.73694888,2019-11-29T13:39:04.000Z,,54.7255846054,335652639.014491,502309544.84520483,0.75584,7.02921,-3.79115,2019-11-29T13:39:04.000Z
1321,23,Ethereum Classic,ETC,ethereum-classic,224,2016-07-24T00:00:00.000Z,['mineable'],210000000,115469429,2019-11-29T13:39:05.000Z,,4.06374575055,528058419.972216,469238401.41718495,0.105166,2.04035,3.83193,2019-11-29T13:39:05.000Z
